repo_name,ref,path,symlink_target,docker_base_image
oduwsdl/wsdlthesis,refs/heads/master,Dockerfile,,buster
Perl/docker-perl,refs/heads/master,"eol/5.026.003-slim,threaded-buster/Dockerfile",,buster
Clever/gearman-load-logger,refs/heads/master,Dockerfile,,stretch
phusion/passenger_apt_automation,refs/heads/master,docker-images/testbox-debian-10/Dockerfile,,10
ctiller/grpc,refs/heads/master,tools/dockerfile/interoptest/grpc_interop_pythonasyncio/Dockerfile,,bullseye
endlessm/chromium-browser,refs/heads/master,third_party/skia/infra/docker/debian9/Dockerfile,,9
padelt/docker-owntracks-private-mqtt-broker,refs/heads/master,Dockerfile,,stretch
HPI-SWA-Teaching/AutoTDD,refs/heads/master,github-release-action/Dockerfile,,9.5
muxi/grpc,refs/heads/master,src/php/docker/php-src/Dockerfile,,stretch
firebase/grpc,refs/heads/master,src/php/docker/php-src/Dockerfile,,stretch
jboeuf/grpc,refs/heads/master,src/php/docker/php-src/Dockerfile,,stretch
firebase/grpc-SwiftPM,refs/heads/main,src/php/docker/php-src/Dockerfile,,stretch
bablokb/mtv_cli,refs/heads/master,Dockerfile,,10
lepinkainen/pyfibot,refs/heads/master,Dockerfile,,stretch
jamesnetherton/dockerfiles,refs/heads/master,fuse-emulator/Dockerfile,,stretch
nixys/nxs-fw-ctl,refs/heads/master,build-pkgs-conf/docker/debian-9/Dockerfile,,9
atmoz/sftp,refs/heads/master,Dockerfile,,bullseye
UnderGreen/ansible-role-mongodb,refs/heads/master,tests/Dockerfile.debian_9-builded,,9
MrBretze/mineos-node,refs/heads/master,Dockerfile,,stretch
el-bart/but,refs/heads/master,sdk/Dockerfile,,buster
ulule/ipfix,refs/heads/master,Dockerfile,,stretch
cahirwpz/demoscene,refs/heads/master,Dockerfile,,bullseye
progmaticltd/homebox,refs/heads/dev,preseed/Dockerfile,,stretch
saneax/dockerfiles,refs/heads/master,iceweasel/Dockerfile,,stretch
linuxfrorg/linuxfr.org,refs/heads/master,deployment/linuxfr-board/Dockerfile,,stretch
kubernetes/ingress-gce,refs/heads/master,Dockerfile.e2e-test,,9
chrlutz/apt-repos,refs/heads/master,docker-buildenv/Dockerfile,,bullseye
Synerty/synerty-peek,refs/heads/master,gitlab/v2.4.x/linux/peek-linux:v2.4.x.Dockerfile,,9
D4edalus/CoD4x1.8_Server_Pub,refs/heads/master,Dockerfile,,stretch
jjhoo/hs-sudoku,refs/heads/master,.jenkins/docker/Dockerfile,,bullseye
muxi/grpc,refs/heads/master,tools/dockerfile/test/python_stretch_2.7_x64/Dockerfile,,stretch
jboeuf/grpc,refs/heads/master,tools/dockerfile/test/python_stretch_2.7_x64/Dockerfile,,stretch
firebase/grpc-SwiftPM,refs/heads/main,tools/dockerfile/test/python_stretch_2.7_x64/Dockerfile,,stretch
udevbe/greenfield,refs/heads/master,compositor-proxy/example-apps/gtk3-demo/Dockerfile,,buster
cbsan/docker-node,refs/heads/master,Dockerfile,,stretch
Tanzy/docker-plex,refs/heads/master,x86/Dockerfile,,stretch
