repo_name,ref,path,symlink_target,docker_base_image,repo_owner,repo
MediaKraken/MediaKraken_Deployment,refs/heads/master,docker/debian/ComposeMediaKrakenMooseFSChunkServerClient/Dockerfile,,stretch,MediaKraken,MediaKraken_Deployment
oduwsdl/wsdlthesis,refs/heads/master,Dockerfile,,buster,oduwsdl,wsdlthesis
Perl/docker-perl,refs/heads/master,"eol/5.026.003-slim,threaded-buster/Dockerfile",,buster,Perl,docker-perl
Clever/gearman-load-logger,refs/heads/master,Dockerfile,,stretch,Clever,gearman-load-logger
phusion/passenger_apt_automation,refs/heads/master,docker-images/testbox-debian-10/Dockerfile,,10,phusion,passenger_apt_automation
endlessm/chromium-browser,refs/heads/master,third_party/skia/infra/docker/debian9/Dockerfile,,9,endlessm,chromium-browser
padelt/docker-owntracks-private-mqtt-broker,refs/heads/master,Dockerfile,,stretch,padelt,docker-owntracks-private-mqtt-broker
HPI-SWA-Teaching/AutoTDD,refs/heads/master,github-release-action/Dockerfile,,9.5,HPI-SWA-Teaching,AutoTDD
muxi/grpc,refs/heads/master,src/php/docker/php-src/Dockerfile,,stretch,muxi,grpc
firebase/grpc-SwiftPM,refs/heads/main,src/php/docker/php-src/Dockerfile,,stretch,firebase,grpc-SwiftPM
bablokb/mtv_cli,refs/heads/master,Dockerfile,,10,bablokb,mtv_cli
lepinkainen/pyfibot,refs/heads/master,Dockerfile,,stretch,lepinkainen,pyfibot
jamesnetherton/dockerfiles,refs/heads/master,fuse-emulator/Dockerfile,,stretch,jamesnetherton,dockerfiles
nixys/nxs-fw-ctl,refs/heads/master,build-pkgs-conf/docker/debian-9/Dockerfile,,9,nixys,nxs-fw-ctl
atmoz/sftp,refs/heads/master,Dockerfile,,bullseye,atmoz,sftp
UnderGreen/ansible-role-mongodb,refs/heads/master,tests/Dockerfile.debian_9-builded,,9,UnderGreen,ansible-role-mongodb
MrBretze/mineos-node,refs/heads/master,Dockerfile,,stretch,MrBretze,mineos-node
el-bart/but,refs/heads/master,sdk/Dockerfile,,buster,el-bart,but
ulule/ipfix,refs/heads/master,Dockerfile,,stretch,ulule,ipfix
cahirwpz/demoscene,refs/heads/master,Dockerfile,,bullseye,cahirwpz,demoscene
progmaticltd/homebox,refs/heads/dev,preseed/Dockerfile,,stretch,progmaticltd,homebox
linuxfrorg/linuxfr.org,refs/heads/master,deployment/linuxfr-board/Dockerfile,,stretch,linuxfrorg,linuxfr.org
kubernetes/ingress-gce,refs/heads/master,Dockerfile.e2e-test,,9,kubernetes,ingress-gce
chrlutz/apt-repos,refs/heads/master,docker-buildenv/Dockerfile,,bullseye,chrlutz,apt-repos
Synerty/synerty-peek,refs/heads/master,gitlab/v2.4.x/linux/peek-linux:v2.4.x.Dockerfile,,9,Synerty,synerty-peek
D4edalus/CoD4x1.8_Server_Pub,refs/heads/master,Dockerfile,,stretch,D4edalus,CoD4x1.8_Server_Pub
jjhoo/hs-sudoku,refs/heads/master,.jenkins/docker/Dockerfile,,bullseye,jjhoo,hs-sudoku
