repo_name,ref,path,symlink_target
SoftwareHeritage/puppet-swh-site,refs/heads/production,data/common/common.yaml,
ToruMakabe/azure-quickstart-templates,refs/heads/master,couchbase-ansible/InitStorage_RAID.yml,
ToruMakabe/azure-quickstart-templates,refs/heads/master,ansible-advancedlinux/InitStorage_RAID.yml,
LifeInLights/pi_config,refs/heads/master,initial_setup.yml,
LifeInLights/pi_config,refs/heads/master,lirc.yaml,
LifeInLights/pi_config,refs/heads/master,unclutter.yaml,
kurron/lazybones-experiment,refs/heads/master,templates/jvm-guy-development-environment/ansible/playbook.yml,
kurron/lazybones-experiment,refs/heads/master,templates/ansible-remote/playbook/web-notls.yml,
lmazuel/ansible,refs/heads/devel,test/utils/docker/httptester/httptester.yml,
Russell-IO/streisand,refs/heads/master,playbooks/google.yml,
viktorbenei/vagrant-vm-for-dev-with-docker,refs/heads/master,vagrant_files/playbook.yml,
CharlPels/azure-quickstart-templates,refs/heads/master,ansible-advancedlinux/InitStorage_RAID.yml,
Ecotrust/WJA,refs/heads/master,deploy/provision.yml,
dang/ceph-ansible,refs/heads/master,purge-cluster.yml,
Alan-AcutePath/azure-quickstart-templates,refs/heads/master,couchbase-ansible/InitStorage_RAID.yml,
Alan-AcutePath/azure-quickstart-templates,refs/heads/master,ansible-advancedlinux/InitStorage_RAID.yml,
prune998/ansible,refs/heads/devel,test/utils/docker/httptester/httptester.yml,
meredith-digops/ansible,refs/heads/devel,test/utils/docker/httptester/httptester.yml,
openstacks/ansible,refs/heads/master,playbooks/ci-allinone/tasks/pre-deploy.yml,
openstacks/ansible,refs/heads/master,playbooks/ci-full/tasks/pre-deploy.yml,
openstacks/ansible,refs/heads/master,playbooks/vagrant/predeploy.yml,
openstacks/ansible,refs/heads/master,upgrade.yml,
amitsriva/azure-quickstart-templates,refs/heads/master,ansible-advancedlinux/InitStorage_RAID.yml,
amitsriva/azure-quickstart-templates,refs/heads/master,couchbase-ansible/InitStorage_RAID.yml,
iitbmooc/bharatmooc-configuration,refs/heads/master,playbooks/edx-east/create_dbs.yml,
