repo_name,ref,path,symlink_target,docker_base_image,repo_owner,repo
serverdensity/sd-agent-core-plugins,refs/heads/master,.travis/dockerfiles/jessie/Dockerfile,,ubuntu:18.04,serverdensity,sd-agent-core-plugins
serverdensity/sd-agent-core-plugins,refs/heads/master,.travis/dockerfiles/buster/Dockerfile,,ubuntu:18.04,serverdensity,sd-agent-core-plugins
serverdensity/sd-agent-core-plugins,refs/heads/master,.travis/dockerfiles/xenial/Dockerfile,,ubuntu:18.04,serverdensity,sd-agent-core-plugins
serverdensity/sd-agent-core-plugins,refs/heads/master,.travis/dockerfiles/stretch/Dockerfile,,ubuntu:18.04,serverdensity,sd-agent-core-plugins
dtan4/dockerfile-texlive,refs/heads/master,Dockerfile,,ubuntu:14.04,dtan4,dockerfile-texlive
pagespace/pagespace,refs/heads/master,Dockerfile,,ubuntu:14.04,pagespace,pagespace
johndpope/tensorflow,refs/heads/master,tensorflow/tools/dist_test/server/Dockerfile,,ubuntu:16.04,johndpope,tensorflow
johndpope/tensorflow,refs/heads/master,tensorflow/tools/ci_build/Dockerfile.tensorboard,,ubuntu:14.04,johndpope,tensorflow
johndpope/tensorflow,refs/heads/master,tensorflow/tools/ci_build/Dockerfile.hadoop,,ubuntu:14.04,johndpope,tensorflow
johndpope/tensorflow,refs/heads/master,tensorflow/tools/dist_test/Dockerfile.local,,ubuntu:16.04,johndpope,tensorflow
johndpope/tensorflow,refs/heads/master,tensorflow/tools/gcs_test/Dockerfile,,ubuntu:16.04,johndpope,tensorflow
johndpope/tensorflow,refs/heads/master,tensorflow/tools/dist_test/Dockerfile,,ubuntu:16.04,johndpope,tensorflow
johndpope/tensorflow,refs/heads/master,tensorflow/contrib/makefile/Dockerfile,,ubuntu:16.04,johndpope,tensorflow
johndpope/tensorflow,refs/heads/master,tensorflow/tools/dist_test/server/Dockerfile.test,,ubuntu:16.04,johndpope,tensorflow
johndpope/tensorflow,refs/heads/master,tensorflow/tools/ci_build/Dockerfile.cmake,,ubuntu:16.04,johndpope,tensorflow
johndpope/tensorflow,refs/heads/master,tensorflow/tools/docker/Dockerfile,,ubuntu:16.04,johndpope,tensorflow
johndpope/tensorflow,refs/heads/master,tensorflow/tools/ci_build/Dockerfile.cpu,,ubuntu:14.04,johndpope,tensorflow
yanyang729/mini-collaborating-leetcode,refs/heads/master,executor/Dockerfile,,ubuntu:16.04,yanyang729,mini-collaborating-leetcode
MischaLundberg/bamsurgeon,refs/heads/master,Dockerfile,,ubuntu:14.04,MischaLundberg,bamsurgeon
kvakvs/otp,refs/heads/master,scripts/Dockerfile.64.ubuntu,,ubuntu:16.04,kvakvs,otp
tinchoz49/vr-synthesis-osc,refs/heads/master,docker/Dockerfile,,ubuntu:16.04,tinchoz49,vr-synthesis-osc
mudream4869/imaginary-city,refs/heads/master,Dockerfile,,ubuntu:16.04,mudream4869,imaginary-city
Yukarumya/Yukarum-Redfoxes,refs/heads/master,third_party/rust/libc/ci/docker/powerpc64-unknown-linux-gnu/Dockerfile,,ubuntu:16.10,Yukarumya,Yukarum-Redfoxes
Yukarumya/Yukarum-Redfoxes,refs/heads/master,third_party/rust/libc/ci/docker/mips-unknown-linux-gnu/Dockerfile,,ubuntu:16.10,Yukarumya,Yukarum-Redfoxes
Yukarumya/Yukarum-Redfoxes,refs/heads/master,taskcluster/docker/firefox-snap/Dockerfile,,ubuntu:16.04,Yukarumya,Yukarum-Redfoxes
Yukarumya/Yukarum-Redfoxes,refs/heads/master,third_party/rust/libc/ci/docker/i686-unknown-linux-gnu/Dockerfile,,ubuntu:16.10,Yukarumya,Yukarum-Redfoxes
Yukarumya/Yukarum-Redfoxes,refs/heads/master,third_party/rust/libc/ci/docker/x86_64-unknown-linux-musl/Dockerfile,,ubuntu:16.10,Yukarumya,Yukarum-Redfoxes
Yukarumya/Yukarum-Redfoxes,refs/heads/master,third_party/rust/libc/ci/docker/mipsel-unknown-linux-musl/Dockerfile,,ubuntu:16.10,Yukarumya,Yukarum-Redfoxes
Yukarumya/Yukarum-Redfoxes,refs/heads/master,third_party/rust/libc/ci/docker/powerpc-unknown-linux-gnu/Dockerfile,,ubuntu:16.10,Yukarumya,Yukarum-Redfoxes
Yukarumya/Yukarum-Redfoxes,refs/heads/master,third_party/rust/libc/ci/docker/arm-unknown-linux-gnueabihf/Dockerfile,,ubuntu:16.10,Yukarumya,Yukarum-Redfoxes
Yukarumya/Yukarum-Redfoxes,refs/heads/master,third_party/rust/libc/ci/docker/arm-linux-androideabi/Dockerfile,,ubuntu:16.04,Yukarumya,Yukarum-Redfoxes
Yukarumya/Yukarum-Redfoxes,refs/heads/master,third_party/rust/libc/ci/docker/x86_64-unknown-linux-gnu/Dockerfile,,ubuntu:16.10,Yukarumya,Yukarum-Redfoxes
Yukarumya/Yukarum-Redfoxes,refs/heads/master,third_party/rust/libc/ci/docker/mips-unknown-linux-musl/Dockerfile,,ubuntu:16.10,Yukarumya,Yukarum-Redfoxes
