repo_name,ref,path,symlink_target,docker_base_image,repo_owner,repo
Getline-Network/getline,refs/heads/master,vendor/github.com/ethereum/go-ethereum/containers/docker/develop-ubuntu/Dockerfile,,ubuntu:xenial,Getline-Network,getline
ucare-uchicago/hadoop,refs/heads/trunk,hadoop-yarn-project/hadoop-yarn/hadoop-yarn-applications/hadoop-yarn-submarine/src/site/markdown/WriteDockerfile.md,,ubuntu:16.04,ucare-uchicago,hadoop
carl-mastrangelo/grpc,refs/heads/master,tools/dockerfile/test/python_stretch_3.6_x64/Dockerfile,,debian:stretch,carl-mastrangelo,grpc
DmitryLanda/flow-build-server,refs/heads/master,src/github.com/docker/docker/builder/dockerfile/parser/testfiles/influxdb/Dockerfile,,ubuntu:14.04,DmitryLanda,flow-build-server
bq/bootloader-stk500v2,refs/heads/master,Dockerfile,,ubuntu:14.04.3,bq,bootloader-stk500v2
thinkmassive/crypto-nodes,refs/heads/master,files/Dockerfiles/ltc-node.Dockerfile,,ubuntu:xenial,thinkmassive,crypto-nodes
sideci-sample/sideci-sample-gitlabhq,refs/heads/master,docker/Dockerfile,,ubuntu:14.04,sideci-sample,sideci-sample-gitlabhq
eduardo-duran/docker-vsftpd,refs/heads/master,Dockerfile,,ubuntu:16.04,eduardo-duran,docker-vsftpd
BBC-News-Labs/datastringer,refs/heads/master,Dockerfile,,ubuntu:16.04,BBC-News-Labs,datastringer
aelsharawi/nginx-ps-hdrs-cach,refs/heads/master,Dockerfile,,ubuntu:14.04.4,aelsharawi,nginx-ps-hdrs-cach
XAMPP/Celty,refs/heads/master,Dockerfile,,debian:stretch,XAMPP,Celty
anishitani/docker-cache,refs/heads/master,Dockerfile,,ubuntu:14.04,anishitani,docker-cache
heroku/stack-images,refs/heads/main,tools/Dockerfile,,ubuntu:20.04,heroku,stack-images
onelab-eu/docker,refs/heads/master,dockerfiles/web_myslice/Dockerfile,,ubuntu:14.04,onelab-eu,docker
threadx/dockerfiles,refs/heads/master,zcs/sshd/Dockerfile,,ubuntu:trusty,threadx,dockerfiles
zatosource/zato-build,refs/heads/master,docker/components/odb/Dockerfile,,ubuntu:14.04,zatosource,zato-build
ayapapa/docker-alminium,refs/heads/master,Dockerfile.templ,,ubuntu:18.04,ayapapa,docker-alminium
tareqalayan/ansible,refs/heads/devel,test/runner/Dockerfile,,ubuntu:16.04,tareqalayan,ansible
joshuacox/docker-chef-solo,refs/heads/master,Dockerfile,,ubuntu:xenial,joshuacox,docker-chef-solo
CoinGame/NuShadowNet,refs/heads/nushadownet,src/test/containers/base/Dockerfile,,ubuntu:14.04,CoinGame,NuShadowNet
firegurafiku/flarum-dockerfile,refs/heads/master,Dockerfile,,ubuntu:14.04,firegurafiku,flarum-dockerfile
ushergod/column,refs/heads/master,Dockerfile,,ubuntu:xenial,ushergod,column
pragyasardana/Docker-cr-combined,refs/heads/cr-combined,builder/dockerfile/parser/testfiles/mail/Dockerfile,,ubuntu:14.04,pragyasardana,Docker-cr-combined
lixueclaire/website,refs/heads/master,Godeps/_workspace/src/github.com/docker/docker/builder/parser/testfiles/escapes/Dockerfile,,ubuntu:14.04,lixueclaire,website
cjcjameson/concourse,refs/heads/master,ci/dockerfiles/bosh-cli/Dockerfile,,ubuntu:16.04,cjcjameson,concourse
dreamcat4/docker-images,refs/heads/master,tvh/config/Dockerfile,,ubuntu:20.04,dreamcat4,docker-images
mrorgues/dockerfiles,refs/heads/master,ubuntu_zsh_agnoster/Dockerfile,,ubuntu:bionic,mrorgues,dockerfiles
bonczj/moby-json-file-logger,refs/heads/master,builder/dockerfile/parser/testfiles/escapes/Dockerfile,,ubuntu:14.04,bonczj,moby-json-file-logger
gazoo74/udev-rules,refs/heads/master,Dockerfile,,ubuntu:16.04,gazoo74,udev-rules
jmspring/mesos-stateful-example,refs/heads/master,app/Dockerfile,,ubuntu:14.04,jmspring,mesos-stateful-example
danieldUKIM/controllers_dockers,refs/heads/master,init_device_locations/Dockerfile,,ubuntu:16.04,danieldUKIM,controllers_dockers
qateam123/secure-messaging-api,refs/heads/master,Dockerfile,,ubuntu:14.04,qateam123,secure-messaging-api
luca3m/app-examples,refs/heads/master,couchbase/Dockerfile,,ubuntu:trusty,luca3m,app-examples
UET4/docker-erl,refs/heads/master,simple_version/Dockerfile,,ubuntu:14.04,UET4,docker-erl
TLoebner/JavaCalc,refs/heads/master,Dockerfiles/Ubuntu/openjdk7/Dockerfile,,ubuntu:14.04,TLoebner,JavaCalc
appsignal/probes-rs,refs/heads/master,docker/ubuntu_2004/Dockerfile,,ubuntu:20.04,appsignal,probes-rs
stanta/darfchain,refs/heads/master,darfchain_docker_vagrant/k8s/mongodb-monitoring-agent/container/Dockerfile,,ubuntu:xenial,stanta,darfchain
luispintomartins/docker-qt,refs/heads/master,qt/5.8/windows/amd64/static/Dockerfile,,ubuntu:16.04,luispintomartins,docker-qt
GEFx/GEF,refs/heads/master,gefserver/tests/clone_test/Dockerfile,,ubuntu:14.04,GEFx,GEF
sh1r0/caffe-android-lib,refs/heads/master,Dockerfile,,ubuntu:16.04,sh1r0,caffe-android-lib
csminpp/docker-1.9.1,refs/heads/master,builder/dockerfile/parser/testfiles/mumble/Dockerfile,,ubuntu:14.04,csminpp,docker-1.9.1
MazZzinatus/storm,refs/heads/master,travis/dockerfiles/Dockerfile.debian-9,,debian:9,MazZzinatus,storm
3ofcoins/docker-sentry,refs/heads/master,Dockerfile,,ubuntu:14.04,3ofcoins,docker-sentry
stephenmelrose/docker-multi-container-example,refs/heads/master,images/php-base/Dockerfile,,ubuntu:14.04,stephenmelrose,docker-multi-container-example
Kaixhin/dockerfiles,refs/heads/master,caffe/deps/Dockerfile,,ubuntu:14.04,Kaixhin,dockerfiles
ekreative/android-docker,refs/heads/master,29-stf-client/Dockerfile,,ubuntu:focal,ekreative,android-docker
leprechau/freeradius-server,refs/heads/v3.0.x,scripts/jenkins/ubuntu18/Dockerfile.testrepo,,ubuntu:18.04,leprechau,freeradius-server
